lambda,     L08,    L10,  L22,   KII0
9.07132e-02,    6.70507e-01,   6.83778e-01,     6.99667e-01,     6.70825e-01
9.47181e-02,    5.08452e-01,   5.19252e-01,     5.32181e-01,     5.13474e-01
9.72747e-02,    3.73874e-01,   3.82375e-01,     3.92551e-01,     3.79980e-01
9.87813e-02,    2.66087e-01,   2.72575e-01,     2.80340e-01,     2.71644e-01
9.96053e-02,    1.82524e-01,   1.87332e-01,     1.93085e-01,     1.86989e-01
1.00024e-01,    1.19662e-01,   1.23120e-01,     1.27258e-01,     1.23002e-01
1.00219e-01,    7.37304e-02,   7.61399e-02,     7.90226e-02,     7.61056e-02
1.00301e-01,    4.11639e-02,   4.27814e-02,     4.47166e-02,     4.27796e-02
1.00331e-01,    1.88334e-02,   1.98687e-02,     2.11074e-02,     1.98808e-02
1.00338e-01,    4.13043e-03,   4.74936e-03,     5.49000e-03,     4.76772e-03
1.00338e-01,    -5.03749e-03,   -4.70774e-03,     -4.31299e-03,     -4.68677e-03
1.00337e-01,    -1.02987e-02,   -1.01629e-02,     -1.00002e-02,     -1.01415e-02
1.00336e-01,    -1.28870e-02,   -1.28758e-02,     -1.28620e-02,     -1.28551e-02
1.00335e-01,    -1.37148e-02,   -1.37786e-02,     -1.38546e-02,     -1.37594e-02
