type,   lambda,    K 
Kval,    5.70000e-02,   2.67926e-01 
Kval,    5.71000e-02,   2.55596e-01 
Kval,    5.72000e-02,   2.43278e-01 
Kval,    5.73000e-02,   2.30973e-01 
Kval,    5.74000e-02,   2.18680e-01 
Kval,    5.75000e-02,   2.06401e-01 
Kval,    5.76000e-02,   1.94134e-01 
Kval,    5.77000e-02,   1.81880e-01 
Kval,    5.78000e-02,   1.69641e-01 
Kval,    5.79000e-02,   1.57415e-01 
Kval,    5.80000e-02,   1.45204e-01 
Kval,    5.81000e-02,   1.33007e-01 
Kval,    5.82000e-02,   1.20826e-01 
Kval,    5.83000e-02,   1.08661e-01 
Kval,    5.84000e-02,   9.65129e-02 
Kval,    5.85000e-02,   8.43816e-02 
Kval,    5.86000e-02,   7.22682e-02 
Kval,    5.87000e-02,   6.01737e-02 
Kval,    5.88000e-02,   4.80994e-02 
Kval,    5.89000e-02,   3.60467e-02 
linear,    5.69761e-02,   2.67926e-01 
linear,    5.70784e-02,   2.55596e-01 
linear,    5.71806e-02,   2.43278e-01 
linear,    5.72827e-02,   2.30973e-01 
linear,    5.73847e-02,   2.18680e-01 
linear,    5.74866e-02,   2.06401e-01 
linear,    5.75884e-02,   1.94134e-01 
linear,    5.76900e-02,   1.81880e-01 
linear,    5.77916e-02,   1.69641e-01 
linear,    5.78930e-02,   1.57415e-01 
linear,    5.79943e-02,   1.45204e-01 
linear,    5.80955e-02,   1.33007e-01 
linear,    5.81966e-02,   1.20826e-01 
linear,    5.82975e-02,   1.08661e-01 
linear,    5.83983e-02,   9.65129e-02 
linear,    5.84990e-02,   8.43816e-02 
linear,    5.85995e-02,   7.22682e-02 
linear,    5.86998e-02,   6.01737e-02 
linear,    5.88000e-02,   4.80994e-02 
linear,    5.89000e-02,   3.60467e-02 
linear,    5.91991e-02,   0.00000e+00 
quadratic,    5.70076e-02,   2.67926e-01 
quadratic,    5.71065e-02,   2.55596e-01 
quadratic,    5.72056e-02,   2.43278e-01 
quadratic,    5.73047e-02,   2.30973e-01 
quadratic,    5.74039e-02,   2.18680e-01 
quadratic,    5.75032e-02,   2.06401e-01 
quadratic,    5.76026e-02,   1.94134e-01 
quadratic,    5.77021e-02,   1.81880e-01 
quadratic,    5.78016e-02,   1.69641e-01 
quadratic,    5.79012e-02,   1.57415e-01 
quadratic,    5.80009e-02,   1.45204e-01 
quadratic,    5.81006e-02,   1.33007e-01 
quadratic,    5.82004e-02,   1.20826e-01 
quadratic,    5.83002e-02,   1.08661e-01 
quadratic,    5.84001e-02,   9.65129e-02 
quadratic,    5.85001e-02,   8.43816e-02 
quadratic,    5.86000e-02,   7.22682e-02 
quadratic,    5.87000e-02,   6.01737e-02 
quadratic,    5.88000e-02,   4.80994e-02 
quadratic,    5.89000e-02,   3.60467e-02 
quadratic,    5.92001e-02,   0.00000e+00 
