KI,     KII,    lambda,  estimated,   estimated2
1.93226e+00,    1.50542e+00,   0.00000e+00,     6.96572e-06,     -1.06974e-04
1.82387e+00,    1.48976e+00,   9.39167e-03,     9.34056e-03,     9.42610e-03
1.71255e+00,    1.47475e+00,   1.79667e-02,     1.78990e-02,     1.80597e-02
1.59793e+00,    1.46047e+00,   2.57250e-02,     2.56663e-02,     2.58147e-02
1.47954e+00,    1.44702e+00,   3.26667e-02,     3.26287e-02,     3.27132e-02
1.35680e+00,    1.43450e+00,   3.87917e-02,     3.87756e-02,     3.87774e-02
1.22892e+00,    1.42304e+00,   4.41000e-02,     4.40993e-02,     4.40286e-02
1.09486e+00,    1.41277e+00,   4.85917e-02,     4.85954e-02,     4.84853e-02
9.53228e-01,    1.40388e+00,   5.22667e-02,     5.22630e-02,     5.21609e-02
8.02257e-01,    1.39655e+00,   5.51250e-02,     5.51045e-02,     5.50599e-02
6.40476e-01,    1.39101e+00,   5.71667e-02,     5.71256e-02,     5.71734e-02
4.73919e-01,    1.38750e+00,   5.83917e-02,     5.83338e-02,     5.84741e-02
3.74310e-01,    1.38630e+00,   5.88000e-02,     5.87358e-02,     5.89172e-02
