KI,     KII,    V
1.93226e+00,    1.50542e+00,   0.00000e+00
1.92459e+00,    1.50427e+00,   8.02141e-03
1.91685e+00,    1.50313e+00,   1.60428e-02
1.90906e+00,    1.50198e+00,   2.40642e-02
1.90120e+00,    1.50083e+00,   3.20856e-02
1.89327e+00,    1.49967e+00,   4.01070e-02
1.88529e+00,    1.49851e+00,   4.81285e-02
1.87723e+00,    1.49734e+00,   5.61499e-02
1.86911e+00,    1.49617e+00,   6.41713e-02
1.86092e+00,    1.49500e+00,   7.21927e-02
1.85266e+00,    1.49382e+00,   8.02141e-02
1.84432e+00,    1.49264e+00,   8.82355e-02
1.83591e+00,    1.49145e+00,   9.62569e-02
1.82743e+00,    1.49026e+00,   1.04278e-01
1.81886e+00,    1.48906e+00,   1.12300e-01
1.81022e+00,    1.48786e+00,   1.20321e-01
1.80150e+00,    1.48665e+00,   1.28343e-01
1.79269e+00,    1.48544e+00,   1.36364e-01
1.78380e+00,    1.48423e+00,   1.44385e-01
1.77482e+00,    1.48301e+00,   1.52407e-01
1.76575e+00,    1.48179e+00,   1.60428e-01
1.75659e+00,    1.48056e+00,   1.68450e-01
1.74733e+00,    1.47932e+00,   1.76471e-01
1.73798e+00,    1.47808e+00,   1.84492e-01
1.72853e+00,    1.47684e+00,   1.92514e-01
1.71897e+00,    1.47559e+00,   2.00535e-01
1.70931e+00,    1.47433e+00,   2.08557e-01
1.69955e+00,    1.47307e+00,   2.16578e-01
1.68967e+00,    1.47180e+00,   2.24599e-01
1.67967e+00,    1.47053e+00,   2.32621e-01
1.66956e+00,    1.46925e+00,   2.40642e-01
1.65933e+00,    1.46797e+00,   2.48664e-01
1.64897e+00,    1.46668e+00,   2.56685e-01
1.63848e+00,    1.46539e+00,   2.64707e-01
1.62786e+00,    1.46408e+00,   2.72728e-01
1.61710e+00,    1.46278e+00,   2.80749e-01
1.60620e+00,    1.46146e+00,   2.88771e-01
1.59515e+00,    1.46014e+00,   2.96792e-01
1.58395e+00,    1.45882e+00,   3.04814e-01
1.57259e+00,    1.45748e+00,   3.12835e-01
1.56107e+00,    1.45614e+00,   3.20856e-01
1.54937e+00,    1.45479e+00,   3.28878e-01
1.53750e+00,    1.45344e+00,   3.36899e-01
1.52544e+00,    1.45208e+00,   3.44921e-01
1.51320e+00,    1.45071e+00,   3.52942e-01
1.50075e+00,    1.44933e+00,   3.60963e-01
1.48810e+00,    1.44795e+00,   3.68985e-01
1.47523e+00,    1.44656e+00,   3.77006e-01
1.46214e+00,    1.44516e+00,   3.85028e-01
1.44881e+00,    1.44375e+00,   3.93049e-01
1.43523e+00,    1.44233e+00,   4.01070e-01
1.42139e+00,    1.44090e+00,   4.09092e-01
1.40728e+00,    1.43947e+00,   4.17113e-01
1.39288e+00,    1.43803e+00,   4.25135e-01
1.37818e+00,    1.43657e+00,   4.33156e-01
1.36316e+00,    1.43511e+00,   4.41178e-01
1.34780e+00,    1.43364e+00,   4.49199e-01
1.33209e+00,    1.43216e+00,   4.57220e-01
1.31600e+00,    1.43067e+00,   4.65242e-01
1.29951e+00,    1.42916e+00,   4.73263e-01
1.28258e+00,    1.42765e+00,   4.81285e-01
1.26520e+00,    1.42612e+00,   4.89306e-01
1.24733e+00,    1.42459e+00,   4.97327e-01
1.22892e+00,    1.42304e+00,   5.05349e-01
1.20995e+00,    1.42147e+00,   5.13370e-01
1.19036e+00,    1.41990e+00,   5.21392e-01
1.17009e+00,    1.41831e+00,   5.29413e-01
1.14909e+00,    1.41671e+00,   5.37434e-01
1.12729e+00,    1.41509e+00,   5.45456e-01
1.10460e+00,    1.41346e+00,   5.53477e-01
1.08093e+00,    1.41181e+00,   5.61499e-01
1.05615e+00,    1.41014e+00,   5.69520e-01
1.03013e+00,    1.40846e+00,   5.77541e-01
1.00270e+00,    1.40676e+00,   5.85563e-01
9.73642e-01,    1.40504e+00,   5.93584e-01
9.42694e-01,    1.40330e+00,   6.01606e-01
9.09507e-01,    1.40153e+00,   6.09627e-01
8.73621e-01,    1.39974e+00,   6.17649e-01
8.34405e-01,    1.39793e+00,   6.25670e-01
7.90947e-01,    1.39609e+00,   6.33691e-01
7.41863e-01,    1.39421e+00,   6.41713e-01
6.84863e-01,    1.39230e+00,   6.49734e-01
6.15670e-01,    1.39035e+00,   6.57756e-01
5.24436e-01,    1.38835e+00,   6.65777e-01
3.74403e-01,    1.38630e+00,   6.73798e-01
